ts,method,dataset,backbone,tuned_params_%,acc@1,ece,train_time_s,epochs,left_lr,right_lr
1756887988,norm,cifar100,vit_tiny_patch16_224,0.5213,0.8299,0.0538,36588.4,10,0.001,0
1756966561,lora,cifar100,vit_tiny_patch16_224,5.3816,0.8553,0.0808,51427.6,10,0,0.001
1756981394,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.7679,0.0638,14192.3,3,0.0005,0.0005
1756995644,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.8052,0.0563,14245.6,3,0.001,0.0005
1757009867,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.7761,0.0622,14217.3,3,0.0005,0.001
1757024186,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.7982,0.0595,14314.2,3,0.001,0.001
1757041895,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.7766,0.0616,17703.8,3,0.0005,0.002
1757056236,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.8013,0.0550,14336.0,3,0.001,0.002




1757101411,hybrid,cifar100,vit_tiny_patch16_224,0.4950,0.8333,0.0552,6821.3,10
