epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0004946461621797824,0.0009891830623632338,0.05,0.0,50788,0.2881688224080274,3779233280,0.8811,0.058821080803871155,0.0,17499.991943359375,0.0,0.009486255934461951,nan,nan,400,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00047881863712243716,0.0009572050015330873,0.05,0.0,247396,0.29455900680073693,4174709248,0.8868,0.06323019132614136,34891.0625,15129.098470052084,0.009853817367305359,0.006446373726551731,nan,nan,400,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0004532091636218621,0.0009054634122155989,0.05,0.0,247396,0.2962178427849889,4174709248,0.8865,0.06619728729724884,42282.106770833336,15892.534342447916,0.010301278748859962,0.0063360403291881084,nan,nan,400,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00041893699855792023,0.0008362196501476348,0.05,0.0,247396,0.2963283433938575,4174709248,0.8898,0.06719272680282593,20331.506184895832,8250.468505859375,0.009405872163673243,0.005586827251439293,nan,nan,400,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00037749999999999996,0.0007524999999999999,0.05,0.0,247396,0.29803605823565626,4174709248,0.8895,0.07220634233951569,35542.91796875,11657.0703125,0.009006003073106209,0.005613224348053336,nan,nan,400,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0003307091636218621,0.0006579634122155989,0.05,0.0,247396,0.2967945169609831,4174709248,0.8918,0.0756083475112915,11111.698079427084,4056.3255615234375,0.005695774375150601,0.0038677508709952235,nan,nan,400,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0002806094735005751,0.0005567415893174885,0.05,0.0,247396,0.2968305248738555,4174709248,0.8937,0.07375540609359742,21808.837565104168,6593.5124918619795,0.004831546839947502,0.0029692272655665874,nan,nan,400,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00022939052649942492,0.00045325841068251166,0.05,0.0,247396,0.2972974515022219,4174709248,0.8949,0.07487157963514328,21178.197916666668,8704.33642578125,0.004327489839245875,0.0029146807889143624,nan,nan,400,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0001792908363781379,0.00035203658778440114,0.05,0.0,247396,0.29757675063579586,4174709248,0.9,0.07452911095619201,3340.4935302734375,1211.1670328776042,0.0017316750794028242,0.0010757994217177231,nan,nan,400,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00013250000000000005,0.00025750000000000013,0.05,0.0,247396,0.29682558698727346,4174709248,0.8982,0.07539942449331284,4884.399495442708,2950.4459228515625,0.0011088409228250384,0.0007877229363657534,nan,nan,400,0,0,lora-first
