epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0004945369001834514,0.0009890738003669028,0.05,0.0,57700,0.44228890058024767,4394289664,0.8728,0.06267626574039459,0.0,20410.963483537947,0.0,0.009546470495739154,nan,nan,400,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.00047838636441065017,0.0009567727288213003,0.05,0.0,647524,0.4589751833844978,5739237888,0.8715,0.0648535556435585,132859.939453125,24989.365870884485,0.0238716954897557,0.008150664673719023,-0.0013268805923871696,0.03313016891479492,400,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0004522542485937369,0.0009045084971874737,0.05,0.0,647524,0.4594852668245125,5739237888,0.8706,0.0688706934928894,100443.38671875,18686.62602887835,0.023475304645087038,0.008311884976657373,-0.0018986954043308895,0.024600954726338387,400,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0004172826515897146,0.0008345653031794292,0.05,0.0,647524,0.46063299374202327,5739237888,0.8722,0.07418812658786773,55328.72377232143,11964.404414585659,0.02402292431465217,0.008436518554974879,0.009390909224748611,0.03426875174045563,400,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.000375,0.00075,0.05,0.0,647524,0.46095913816291045,5739237888,0.8791,0.07423543578386307,47223.07142857143,10779.198695591518,0.019850125004138266,0.007288296690343746,0.004492458460542063,0.02192968875169754,400,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.00032725424859373687,0.0006545084971874737,0.05,0.0,647524,0.4603546452339348,5739237888,0.8765,0.07892596423625946,122654.08537946429,24914.871076311385,0.021520639370594705,0.007871097851810711,-0.0002432812179904431,0.013667036779224873,400,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0002761321158169134,0.0005522642316338268,0.05,0.0,647524,0.4604153877024151,5739237888,0.8765,0.07969032464027405,72444.14369419643,13492.549037388393,0.014229561667889357,0.005015376622655562,0.01241696608485654,0.027395380660891533,400,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0002238678841830867,0.0004477357683661734,0.05,0.0,647524,0.4607189152856617,5739237888,0.8835,0.07812949005365372,76025.53683035714,14694.303972516742,0.01110674806737474,0.004068125421846551,-0.0006262094442111751,0.021150194108486176,400,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0001727457514062632,0.0003454915028125264,0.05,0.0,647524,0.46074761637031575,5739237888,0.8911,0.0780968733549118,24457.910016741072,4769.541669573103,0.007890078771327223,0.002937837620265782,-0.013693402317585424,0.01311778835952282,400,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.00012500000000000006,0.0002500000000000001,0.05,0.0,647524,0.4607032869782899,5739237888,0.8933,0.07527576985359193,9497.740792410714,1821.3804277692523,0.003586490688446377,0.0013503577543555626,-0.009246440099862715,0.02170480228960514,400,0,0,lora-first
11,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,8.271734841028551e-05,0.00016543469682057103,0.05,0.0,647524,0.4606408950922739,5739237888,0.8956,0.07691180452108383,8209.701136997768,1582.3692997523717,0.002190518858177321,0.0008446432870446838,-0.0026323560159653425,0.01955120824277401,400,0,0,lora-first
12,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,4.774575140626316e-05,9.549150281252631e-05,0.05,0.0,647524,0.4602332243224239,5739237888,0.8961,0.07582503217458725,6410.539271763393,1258.159078870501,0.001335190367951457,0.0005117569775653205,-0.011144959620044878,0.017510758712887764,400,0,0,lora-first
13,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,2.1613635589349755e-05,4.322727117869951e-05,0.05,0.0,647524,0.46027138105133913,5739237888,0.8966,0.07416922680139541,35692.970005580355,6881.198808942522,0.0018360169903774346,0.0006904021200690684,-0.007244245509355096,0.013302882201969624,400,0,0,lora-first
14,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,5.463099816548578e-06,1.0926199633097156e-05,0.05,0.0,647524,0.4608292488185951,5739237888,0.8971,0.07506399999856948,2447.469220842634,498.2738287789481,0.00021893934172112495,8.370287546962832e-05,-0.005179699187768468,0.017588531598448753,400,0,0,lora-first
15,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0,0.0,0.05,0.0,647524,0.4604711294783961,5739237888,0.8979,0.07557874438762664,1088.984143938337,197.99871798924036,5.2940800742362626e-05,2.0985077883649084e-05,0.009264710398080448,0.0259690061211586,400,0,0,lora-first
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0004945369001834514,0.0009890738003669028,0.05,0.0,50788,0.28862368176355385,3779233280,0.8802,0.058566689443588255,0.0,16598.948364257812,0.0,0.009342658217065036,nan,nan,400,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00047838636441065017,0.0009567727288213003,0.05,0.0,247396,0.2946058990400466,4174709248,0.8851,0.062127027487754824,34892.024088541664,15380.800455729166,0.00984993406261007,0.006370525729532043,nan,nan,400,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0004522542485937369,0.0009045084971874737,0.05,0.0,247396,0.29553590162330884,4174709248,0.8866,0.06681828696727753,42228.890625,16013.07763671875,0.010215537622570992,0.006438421551138163,nan,nan,400,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0004172826515897146,0.0008345653031794292,0.05,0.0,247396,0.29643507015979503,4174709248,0.8882,0.06967600100040436,19689.4375,7102.154215494792,0.009236810418466726,0.005621816419685881,nan,nan,400,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.000375,0.00075,0.05,0.0,247396,0.29640781239170555,4174709248,0.8904,0.06918814282417297,33457.8740234375,11655.945556640625,0.008457243287314972,0.005162508265736203,nan,nan,400,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.00032725424859373687,0.0006545084971874737,0.05,0.0,247396,0.2970627024960335,4174709248,0.8906,0.0743250529050827,7263.660481770833,2437.5803833007812,0.005000508312756817,0.003434029407799244,nan,nan,400,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0002761321158169134,0.0005522642316338268,0.05,0.0,247396,0.2969629904803108,4174709248,0.8932,0.07482357242107392,18128.309244791668,5977.066813151042,0.0044501769201209145,0.0028781064902432263,nan,nan,400,0,0,lora-first
