epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,6.217681894062237e-05,0.0009939057285945933,0.05,0.0,119808,0.3448963555533563,4359430144,0.0949,0.05114135950803757,55006.258463541664,76.73406251271565,0.0010543168464209884,0.004410276577497522,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,6.12152335527478e-05,0.0009757729755661012,0.05,0.0,119808,0.34533200178609785,4359430144,0.1156,0.05968807408809662,81553.98046875,146.7050952911377,0.0012356334676345189,0.005021356279030442,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,5.963892125994467e-05,0.0009460482294732422,0.05,0.0,119808,0.34613604862671676,4359430144,0.1294,0.06316411350965499,68364.86067708333,112.44151941935222,0.0010977693697592865,0.0050815440869579715,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,5.7486696102342385e-05,0.0009054634122155991,0.05,0.0,119808,0.350226947413686,4359430144,0.1379,0.0715864854335785,71185.70052083333,134.58391125996908,0.0011095941978661965,0.005165004171431065,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,5.4811553006146884e-05,0.0008550178566873411,0.05,0.0,119808,0.34882923953063655,4359430144,0.1486,0.07330388839244842,84009.32682291667,174.3082014719645,0.0009470698229658107,0.004243737629925211,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,5.1679362872677433e-05,0.0007959536998847743,0.05,0.0,119808,0.34892461123064045,4359430144,0.1576,0.07700649466514588,102422.96419270833,203.42001024881998,0.0010280385225390394,0.004694969393312931,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,4.816725061816311e-05,0.0007297252973710758,0.05,0.0,119808,0.34731099977517677,4359430144,0.1647,0.08603548147678375,40775.035807291664,105.66587448120117,0.0008653489057905972,0.0037594782188534737,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,4.436169610234238e-05,0.0006579634122155991,0.05,0.0,119808,0.34980548739128403,4359430144,0.1652,0.08178410849571228,52358.578450520836,145.93838024139404,0.0009622023984168967,0.0051925031778713064,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,4.035640470730607e-05,0.0005824350601949144,0.05,0.0,119808,0.3497045430380975,4359430144,0.1727,0.08326405215263366,46560.283528645836,101.73607921600342,0.0008364152260279903,0.003392602588670949,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,3.625000000000001e-05,0.0005050000000000001,0.05,0.0,119808,0.34898223779390536,4359430144,0.1781,0.09070913915634156,51634.905924479164,109.20680300394694,0.0007411712625374397,0.0033607990869010487,nan,nan,0,0,0,lora-first
11,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,3.214359529269395e-05,0.000427564939805086,0.05,0.0,119808,0.35027078350486657,4359430144,0.1839,0.09218140602111817,52982.8369140625,113.4479242960612,0.0006081644969526678,0.002354903845116496,nan,nan,0,0,0,lora-first
12,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844012,0.05,0.0,119808,0.34869621415882157,4359430144,0.1896,0.0932923769235611,48485.1669921875,102.35647646586101,0.0005949839251115918,0.0020138026641992233,nan,nan,0,0,0,lora-first
13,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,2.4332749381836902e-05,0.00028027470262892445,0.05,0.0,119808,0.34967535475026007,4359430144,0.1906,0.0960325795173645,56095.412109375,131.4962994257609,0.0004989316754896814,0.001632061767547081,nan,nan,0,0,0,lora-first
14,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,2.0820637127322587e-05,0.0002140463001152259,0.05,0.0,119808,0.3514079956142494,4359430144,0.1964,0.09750059580802918,54846.930989583336,133.22149308522543,0.0003891775607674693,0.0013395835606691737,nan,nan,0,0,0,lora-first
15,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,1.768844699385313e-05,0.00015498214331265904,0.05,0.0,119808,0.34995716368145957,4359430144,0.1953,0.09547534070014954,54452.208333333336,116.06777095794678,0.00034137091036730755,0.0011175366428991158,nan,nan,0,0,0,lora-first
16,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,1.5013303897657632e-05,0.00010453658778440108,0.05,0.0,119808,0.3500439297512669,4359430144,0.2003,0.10169509797096253,56681.554361979164,150.48200225830078,0.00030639583807593834,0.00085294524130101,nan,nan,0,0,0,lora-first
17,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,1.2861078740055347e-05,6.395177052675796e-05,0.05,0.0,119808,0.3494035545212533,4359430144,0.2022,0.09990091290473938,56910.915690104164,151.1724395751953,0.00024854400544427335,0.0004919125252248099,nan,nan,0,0,0,lora-first
18,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,1.1284766447252222e-05,3.422702443389901e-05,0.05,0.0,119808,0.34917984899047694,4359430144,0.2009,0.09971236939430236,57268.732747395836,120.50952212015788,0.00022413730766857043,0.0003034897381439805,nan,nan,0,0,0,lora-first
19,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,1.0323181059377637e-05,1.6094271405406862e-05,0.05,0.0,119808,0.3490118968212391,4359430144,0.2054,0.10337130036354066,74077.78190104167,186.548220316569,0.00019919513579225168,0.0002037041704170406,nan,nan,0,0,0,lora-first
20,cifar100,vit_small_patch16_224,hybrid_layers,even_lora,0,3,24.0,0.0,0.001,1e-05,1e-05,0.05,0.0,119808,0.3496548794114681,4359430144,0.2032,0.10180710368156433,51558.0732421875,134.1732037862142,0.00015012139435081431,6.923399147732805e-05,nan,nan,0,0,0,lora-first
