epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0009939057285945933,0.05,0.0,19200,0.2262675609734967,3236708864,0.0452,0.02202952880859375,0.0,2628.7757742745534,0.0,0.010651800448873214,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0009757729755661012,0.05,0.0,19200,0.22341799004303525,3231160832,0.0594,0.028727363665401937,0.0,3082.0061383928573,0.0,0.01066436741634139,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0009460482294732422,0.05,0.0,19200,0.22377442337972733,3231160832,0.069,0.034276866054534914,0.0,3748.227957589286,0.0,0.010694402802203382,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0009054634122155991,0.05,0.0,19200,0.22455191063454083,3231160832,0.0779,0.035723799484968184,0.0,4338.471139090402,0.0,0.010237973715577806,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0008550178566873411,0.05,0.0,19200,0.22490478415623347,3231160832,0.0834,0.03885114001631737,0.0,4833.091779436384,0.0,0.009918031449030553,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0007959536998847743,0.05,0.0,19200,0.22814494691541432,3231160832,0.091,0.04306901851296425,0.0,5412.102207728794,0.0,0.008906692399510316,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0007297252973710758,0.05,0.0,19200,0.22678440123262916,3231160832,0.0955,0.04355589671432972,0.0,6780.291033063616,0.0,0.008480562246404588,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0006579634122155991,0.05,0.0,19200,0.22678430488957163,3231160832,0.0977,0.04185178098678589,0.0,7453.832223074777,0.0,0.008116637971917433,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0005824350601949144,0.05,0.0,19200,0.2280157173381132,3231160832,0.1018,0.04445625178813934,0.0,6726.908290318081,0.0,0.00691363839099982,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0005050000000000001,0.05,0.0,19200,0.22749122146450346,3231160832,0.1027,0.04639987759590149,0.0,7272.30304827009,0.0,0.005804740507820887,nan,nan,0,0,0,lora-first
