epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,208896,0.307385531837678,4328889856,0.8347,0.14564517135620117,0.697525,0.16350517401695253,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,46029.018880208336,10259.62353515625,0.0011612483067438006,0.006226360099390149,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,208896,0.307418012862925,4328889856,0.8552,0.114112939453125,0.712825,0.13200957973003388,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,55726.0078125,10441.835611979166,0.0011572101502679288,0.006088788155466318,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,208896,0.31871514125248357,4328889856,0.8655,0.09353221225738526,0.7309249999999999,0.11937661998271942,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,62705.959635416664,13108.487467447916,0.0011100142534511785,0.005691897783738871,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,208896,0.3125894039183322,4328889856,0.8676,0.08416582860946656,0.7366999999999999,0.10991980858445166,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,74389.13671875,14630.983723958334,0.0010136483858029048,0.0059068578605850535,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,208896,0.31204347171441976,4328889856,0.8736,0.08218984961509705,0.733175,0.10366820639371872,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,28778.143880208332,5355.715087890625,0.0008175316033884883,0.004092504891256492,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,208896,0.31169529827049625,4328889856,0.8774,0.07759904999732971,0.740825,0.09912329226136207,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,71839.76302083333,14455.548990885416,0.0006724756288652619,0.003166335828912755,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,208896,0.3112911324366889,4328889856,0.8768,0.07495455145835876,0.73095,0.09583601244688034,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,34826.595703125,6226.363037109375,0.00046043278416618705,0.0018745534277210634,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,208896,0.3119592380035869,4328889856,0.8784,0.07347806205749512,0.7389,0.09351236913800239,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,38710.430989583336,7806.712646484375,0.00038297872136657435,0.0015397225312578182,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,208896,0.31236863563127837,4328889856,0.8782,0.07109994225502014,0.73875,0.09409276863932609,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,63283.45703125,11209.682942708334,0.0002591960267939915,0.0006599461291140566,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,208896,0.31204988462540806,4328889856,0.879,0.07136503467559814,0.7379,0.09161829756498337,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,52714.703125,11757.012939453125,0.00019225078479697308,0.00019868586969096214,nan,nan,0,0,0,lora-first
