epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,304128,0.5358632263320181,4835574272,0.0594,0.03467101683020592,0.051775,0.030123968777060507,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,35956.2705078125,2038.7685953776042,0.0028740242899705968,0.006351864198222756,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,304128,0.5364653033673611,4835574272,0.1788,0.08080076165199279,0.157575,0.07484242855906487,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,128539.5,7422.26220703125,0.002521532936953008,0.006616427330300212,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,304128,0.5332338114833588,4835574272,0.2839,0.14139341173171996,0.23545,0.11630033922791481,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,143230.55208333334,8650.111328125,0.001994427623382459,0.005430145810047786,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,304128,0.5279045153761763,4835574272,0.3566,0.1737801031112671,0.307325,0.15360723462104797,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,189874.90104166666,12176.642740885416,0.001997403179605802,0.005008939886465669,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,304128,0.542860025640034,4835574272,0.3947,0.1979971773147583,0.34365,0.18147208569049833,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,166557.30989583334,10069.724365234375,0.0012690385531944532,0.003275651795168718,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,304128,0.5328619419156438,4835574272,0.4314,0.20014923820495606,0.37675,0.1782923659324646,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,79902.13216145833,3840.9158528645835,0.0011156981733317177,0.002390517348734041,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,304128,0.5274814943523358,4835574272,0.4486,0.19927221088409425,0.3974,0.18345459547042847,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,179792.53645833334,8712.8515625,0.0008335366146638989,0.001752471240858237,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,304128,0.5437466220172775,4835574272,0.4666,0.20745020503997802,0.42115,0.19664514787197113,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,193518.68880208334,8969.862223307291,0.0006407435090901951,0.001070856562970827,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,304128,0.5385254636749892,4835574272,0.4724,0.20578511428833007,0.42900000000000005,0.19751127350330352,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,98021.16276041667,4866.1411539713545,0.0004333212903778379,0.0005168005639764791,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_layerwise,even_lora,0,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,304128,0.5437442213677994,4835574272,0.4819,0.21126438388824462,0.436775,0.20008190484046934,"cutmix,fgsm",0.6,0.0,0.05,0.02,0.1,1.0,0.2,0.3,0.007843137,"gauss,blur,sp,erase",1,221147.12890625,10912.266520182291,0.00029852975664349896,0.00015771181157712513,nan,nan,0,0,0,lora-first
