epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,208896,0.46686365415373116,4601105920,0.7441,0.24078095397949217,0.710525,0.23626385707855224,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,62422.157552083336,9063.888264973959,0.001284852410511424,0.006450825138017535,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,208896,0.47748602259799344,4601105920,0.7867,0.20480989074707032,0.7561,0.20410880525112154,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,78047.20182291667,13825.839925130209,0.0012056140888792772,0.006618308601900935,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,208896,0.47343349090927395,4601105920,0.8129,0.18432390117645264,0.779225,0.18504468977451324,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,51913.139322916664,7541.6650797526045,0.0011050154959472518,0.006447698455303907,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,208896,0.4662395151679778,4601105920,0.8288,0.16407522115707399,0.7954,0.16548420658111573,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,66120.55598958333,12494.699869791666,0.000943846651352942,0.004892905514376859,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,208896,0.4771303630545926,4601105920,0.8313,0.15835895977020265,0.8008500000000001,0.15858177313804625,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,34582.86328125,6381.0653076171875,0.0008523224193292359,0.004745906102471054,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,208896,0.4836984199026357,4601105920,0.833,0.14614104948043824,0.79965,0.14903129608631135,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,36570.255208333336,6009.104166666667,0.0006900913334296396,0.0036505876341834664,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,208896,0.47821384683594376,4601105920,0.8355,0.14596168909072876,0.8035,0.1485375957250595,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,28137.809244791668,5633.0107014973955,0.00046568635540703934,0.0019971924096656344,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,208896,0.47990932488990257,4601105920,0.8377,0.1438920996427536,0.807525,0.1444215395927429,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,68614.77083333333,11929.224365234375,0.0003661386435851455,0.001282483203491817,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,208896,0.47655366387818476,4601105920,0.8406,0.1441244227409363,0.8079999999999999,0.1438603639781475,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,42625.815755208336,7220.040608723958,0.0002815876020273815,0.0006678090673328067,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,208896,0.47619980375480164,4601105920,0.8412,0.14069916973114013,0.8098,0.1434878270804882,"gauss,fgsm,mixup",0.6,0.02,0.06,0.02,0.1,1.0,0.2,0.0,0.003921569,"gauss,blur,sp,erase",1,25619.421223958332,4048.819783528646,0.00019563939228343466,0.00019403825960277268,nan,nan,0,0,0,lora-first
