epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,208896,0.5092168116508542,4603235840,0.0582,0.04162895919084549,0.052425,0.03608213945552707,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,15423.647786458334,1559.8145650227864,0.002267675125040114,0.006122435986374815,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,208896,0.51133113748887,4603235840,0.3879,0.21837848873138427,0.373375,0.2085083517551422,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,80293.03125,8545.128173828125,0.001774784759618342,0.007844631094485521,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,208896,0.5123582825331432,4603235840,0.5297,0.2458881996154785,0.515075,0.2395279305934906,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,76738.49479166667,8130.788167317708,0.0013057646768478055,0.007143362270047267,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,208896,0.4970607599029151,4603235840,0.6027,0.2506367679595947,0.58665,0.2455787380695343,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,87515.109375,7674.565999348958,0.0010721645667217672,0.006020056239018838,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,208896,0.5060464030946307,4603235840,0.6371,0.25271684646606446,0.6176,0.24791640453338623,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,54720.6875,4686.852457682292,0.0008954585840304693,0.004411965996647875,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,208896,0.5045158625258814,4603235840,0.6556,0.2388681032180786,0.63605,0.23353101406097412,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,119929.33854166667,11097.07275390625,0.0007469552801921964,0.003215184474053482,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,208896,0.5066306822745087,4603235840,0.6671,0.23542944679260253,0.65015,0.23185572214126587,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,53362.373046875,4740.555989583333,0.0005319644114933908,0.002189249925625821,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,208896,0.5139590486541123,4603235840,0.6683,0.23482020034790038,0.6501250000000001,0.23184476523399353,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,55975.149739583336,5045.9557698567705,0.0003675361319134633,0.001297762830896924,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,208896,0.5047913164738804,4603235840,0.6769,0.23574821834564208,0.6583749999999999,0.23263278336524962,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,64615.09765625,6629.5370686848955,0.0002627428912092,0.0006651904986938462,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,208896,0.5084933271188565,4603235840,0.6834,0.2318901071548462,0.66275,0.22749761171340943,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,47088.268880208336,5042.170084635417,0.0002165332844015211,0.0002216590437456034,nan,nan,0,0,0,lora-first
