epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,609024,0.7949787917954233,6087511552,0.01,0.007988536834716797,0.01,0.00798356647491455,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,8875.636178152901,1231.2698865618024,0.0013362536556087434,0.0035834972680147204,0.0023398294870276004,0.024786679074168205,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,609024,0.806203011051773,6087511552,0.0101,0.007168719482421875,0.010225,0.007369215393066407,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,8008.201328822544,1137.9950278145927,0.002288150883811925,0.005273149249010852,-0.006996718167404954,-0.00445203622803092,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,609024,0.7798139408726217,6087511552,0.05,0.023658623623847963,0.050075,0.023167353077232836,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,30306.326311383928,2777.794895717076,0.005426049299005952,0.014031255251861044,0.0019170236385737856,0.03038543090224266,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,609024,0.7644691863633177,6087511552,0.1009,0.05056158001422882,0.09989999999999999,0.050022796544432646,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,36614.4638671875,2986.9917340959823,0.0033015162584238817,0.008909345305125629,-0.00829803584686791,0.012266557663679123,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,609024,0.7711971287837114,6087511552,0.1236,0.05971740458011627,0.1229,0.05999702758193016,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,51557.43959263393,3718.326014927455,0.002529077897114413,0.006653316867803889,0.00606525059750614,0.020626572892069817,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,609024,0.7674362659454346,6087511552,0.1425,0.07215372347831726,0.141225,0.0719137701690197,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,37570.760044642855,3097.254150390625,0.001831892495309668,0.00488776301166841,0.0021575958089670166,0.01176035962998867,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,609024,0.7719258975494853,6087511552,0.157,0.07489599246978759,0.156175,0.07454615650177003,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,41961.88532366072,3243.544756208147,0.0015034143330662378,0.0033843920599403127,-0.007913947997925183,0.014400100335478783,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,609024,0.7847635636244283,6087511552,0.1663,0.0796364141702652,0.165,0.07969710035920143,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,52672.18317522322,4632.649300711496,0.0009976142402073102,0.002082886057905853,0.005655208718962967,0.024656333029270172,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,609024,0.7677421106401917,6087511552,0.1758,0.08209277560710906,0.173525,0.08237628031373023,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,61099.77008928572,5341.151419503348,0.0007353991303326828,0.000995168079888182,9.417281641314428e-05,0.010687174275517464,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,609024,0.7759829921185818,6087511552,0.1768,0.08536932721138,0.17602500000000001,0.08591271892786026,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,89887.26841517857,7545.835362025669,0.000566548780105742,0.0003297416499533158,-0.008951547089964151,-0.0023466956336051226,0,0,0,lora-first
