epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,240384,0.32528909819815166,3550255616,0.7418,0.24081879596710204,0.698975,0.22546799807548523,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,121315.65736607143,22003.371381487166,0.0019282498396933079,0.010004696635795491,0.005691328474010031,0.01960952766239643,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,240384,0.32048466870242065,3550255616,0.7852,0.16720950784683228,0.753175,0.16349837911128998,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,138615.1568080357,24788.172956194197,0.0020874086767435074,0.01064422247665269,-0.0010393199821313222,0.024751370772719383,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,240384,0.32160754094038474,3550255616,0.8116,0.13147616033554077,0.778325,0.12989505970478057,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,125397.09598214286,22886.46399797712,0.0016678727614427252,0.008321060100570321,-0.004879176189812521,0.016304874792695045,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,240384,0.32554845431881485,3550255616,0.824,0.11244082498550415,0.7934249999999999,0.11058155244588852,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,157035.8392857143,26029.329755510604,0.0015672939896051372,0.007306587582986269,-0.004792354525610183,0.010856680572032928,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,240384,0.3239794179911504,3550255616,0.8321,0.10050805687904357,0.799125,0.10234419820904733,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,126076.42633928571,20459.916835239954,0.0011654728690960578,0.0052859088173136115,-0.013049309724010527,0.008066064678132534,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,240384,0.32583685360296305,3550255616,0.835,0.0912620488166809,0.807425,0.09723231422305106,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,65881.06026785714,11217.297563825336,0.001064908882004342,0.004727295732923916,-0.0033968512628537915,0.0012741327518597245,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,240384,0.3233015390918078,3550255616,0.8409,0.09046151034832,0.808325,0.09106428776979446,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,54236.41489955357,8545.5851789202,0.0008605916601871806,0.0034505787854348974,-0.004419052096636733,0.01608782634139061,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,240384,0.3236439319522789,3550255616,0.8447,0.08495942056179047,0.8138,0.08888474230766297,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,151282.484375,23993.539045061385,0.0005511201618771468,0.0017994603341711418,-0.004984784944099374,0.0023493787739425898,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,240384,0.32406396756086814,3550255616,0.8449,0.08356083569526672,0.815225,0.08813314862251281,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,106017.96986607143,16705.585130964006,0.00039743237513383586,0.0008512237940781883,-0.0023004826701556644,0.014255295507609844,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,240384,0.323158883072836,3550255616,0.8481,0.08497912726402283,0.8160999999999999,0.08790245516300202,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,147015.1517857143,25547.987540108817,0.00033012293611786196,0.0003201011745009704,-0.010045220066482822,0.006125288549810648,0,0,0,lora-first
