epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,240384,0.5216724244529939,3856376320,0.0102,0.006595539093017578,0.011200000000000002,0.0066105817794799805,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,7431.637922014509,1090.5491790771484,0.000899966390404318,0.0035954158270864616,-0.0024276574258692563,0.0108041912317276,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,240384,0.522965020840735,3856376320,0.01,0.007339955139160156,0.01,0.007341477584838867,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,8444.564278738839,1290.9981580461774,0.001035109124911417,0.0038518373954242895,-0.0013208517533106108,0.004975014366209507,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,240384,0.5286577314976841,3856376320,0.0119,0.007517581939697266,0.012199999999999999,0.007735979843139649,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,6661.408255440848,1031.7054661342077,0.0009401817764488182,0.0037814787522490534,0.0008324811205966398,0.015656515955924988,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,240384,0.5120099932336442,3856376320,0.0157,0.01465793450474739,0.015975,0.014029680594429373,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,14625.603759765625,2008.86474609375,0.004460123434130635,0.012725231487170927,0.0031724167371673198,0.022034229710698128,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,240384,0.523553781192321,3856376320,0.0386,0.021893078768253325,0.03895,0.021549881154298782,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,9782.639718191964,1043.362036568778,0.0019099161394738726,0.008192331363846148,-0.001411349779421774,0.02073846198618412,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,240384,0.5191166900917698,3856376320,0.073,0.034154774487018584,0.071675,0.03356165916919708,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,31313.6923828125,3193.146458217076,0.0016402873277132,0.00661326344457588,-0.0005321905676585933,0.012697702273726463,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,240384,0.5234097836877379,3856376320,0.0883,0.04134990210533142,0.086425,0.04076239972412586,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,41168.36830357143,4017.348850795201,0.0010752675422866429,0.0038629378624526517,-0.0028755896588942655,0.01791016384959221,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,240384,0.5316482297599773,3856376320,0.0979,0.047136723709106446,0.0989,0.048888359227776526,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,40609.44294084822,4209.187447684152,0.0007163797230792365,0.0021210416993458887,0.000603728035154442,0.0236777663230896,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,240384,0.521599654956242,3856376320,0.1107,0.053214011216163634,0.1104,0.05450884798765183,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,64550.291015625,6383.238211495535,0.0005623372521118394,0.00120035360201395,-0.0017422490054741502,0.016772417351603508,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,240384,0.5250673080649217,3856376320,0.1148,0.054676685547828674,0.11357500000000001,0.05474900308400393,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,64294.4140625,5854.089773995535,0.0003625425410323909,0.00034415581675213095,-0.008822321649252748,0.015699340030550957,0,0,0,lora-first
