epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,6.121523355274778e-05,0.0009757729755661011,0.05,0.0,240384,0.5310142442698369,3856966144,0.01,0.006740545654296875,0.01,0.00673967342376709,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,3945.844486781529,545.982305254255,0.0007624019136918443,0.0030379077569315477,-0.015285734873032197,0.002066229935735464,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.7486696102342365e-05,0.000905463412215599,0.05,0.0,240384,0.5240544925260422,3856966144,0.0138,0.007997686004638672,0.01125,0.006027362251281738,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,7514.402980259487,1020.6137956891741,0.0009173365043742317,0.0036416922313427286,0.013887510479738316,0.029557568952441216,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,5.167936287267741e-05,0.0007959536998847742,0.05,0.0,240384,0.5215339514300646,3856966144,0.01,0.006727032470703125,0.01,0.006723188209533691,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,6383.646876743862,843.1451655796596,0.0007232493704317936,0.003460791169865323,0.011117172912539294,0.031433820724487305,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,4.4361696102342364e-05,0.000657963412215599,0.05,0.0,240384,0.5226550803465002,3856966144,0.0132,0.007409096527099609,0.011199999999999998,0.007394731712341309,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,6893.364004952567,877.794915335519,0.0009492422479005265,0.0035536135380555478,0.007479263033019379,0.02001381665468216,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,3.625e-05,0.000505,0.05,0.0,240384,0.5224423451191934,3856966144,0.0198,0.011452786254882812,0.019450000000000002,0.011292939758300782,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,15454.565464564732,2395.3800615583145,0.002985095588623413,0.007195859166261341,-0.0013204445955731596,0.014379460364580154,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.8138303897657636e-05,0.0003520365877844011,0.05,0.0,240384,0.5190414333587412,3856966144,0.0345,0.017812946066260337,0.03385,0.0169938254468143,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,39550.09870256697,4992.841953822544,0.0022948600817471743,0.0076905378705954975,-0.00036452065614867024,0.015461599454283714,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,2.0820637127322587e-05,0.00021404630011522585,0.05,0.0,240384,0.5230461971839065,3856966144,0.0455,0.024193161907792093,0.04575,0.02437053372487426,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,33759.55182756697,4254.060891287668,0.0012194217332372709,0.004541941178363881,-0.003916080206787835,0.014345233328640461,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.5013303897657635e-05,0.00010453658778440107,0.05,0.0,240384,0.5299824826857623,3856966144,0.0525,0.031744863092899325,0.051625000000000004,0.030944615749269724,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,34280.21149553572,2777.836661202567,0.0006282098516489246,0.001977476104262418,0.0022612956187610203,0.013237223960459232,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1.1284766447252222e-05,3.4227024433899005e-05,0.05,0.0,240384,0.524691032936506,3856966144,0.0492,0.027997330808639528,0.050125,0.02845767420977354,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,30375.95926339286,2740.911603655134,0.0005854117792166237,0.0012541727171212966,0.0013922489694474887,0.021360768005251884,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,1,8,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,240384,0.5074705016582518,3856966144,0.0574,0.03339600938558578,0.057025,0.032899818474054335,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,43285.29436383928,3907.9632742745534,0.0004824025361033689,0.0004428875742762882,0.010723837088638296,0.025131959468126297,0,0,0,lora-first
