epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00048800884649231267,nan,0.05,0.0,589824,0.45605671924093494,5857572352,0.8379,0.08511910767555236,0.7038249999999999,0.09724811486005783,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,161835.36979166666,0.0,0.02976005431264639,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,589824,0.4603213123653246,5857572352,0.8516,0.07265987157821656,0.716075,0.09307616449594497,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,146923.89192708334,0.0,0.02635090673963229,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00039900738681165594,nan,0.05,0.0,589824,0.461369638247868,5857572352,0.8637,0.06672187654972077,0.693975,0.09424207438230514,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,163150.37630208334,0.0,0.028763207296530407,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,589824,0.4589352126011763,5857572352,0.8681,0.06835134184360504,0.6930499999999999,0.09990919085741043,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,162314.29947916666,0.0,0.023624142011006672,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.000255,nan,0.05,0.0,589824,0.4596904598538528,5857572352,0.8644,0.07046008511781693,0.6954,0.1044814876973629,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,155194.166015625,0.0,0.019962569543470938,0.0,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,589824,0.461121195722419,5857572352,0.8729,0.06806605818867684,0.695975,0.10721658851504326,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,79904.44173177083,0.0,0.012382875274245938,0.0,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.0001109926131883441,nan,0.05,0.0,589824,0.46024779224639656,5857572352,0.881,0.06924939870834351,0.68535,0.1104930299669504,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,49651.333984375,0.0,0.006443930556997657,0.0,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,589824,0.4607255269804269,5857572352,0.884,0.07159854609966278,0.6971750000000001,0.11436949377059935,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,57278.9345703125,0.0,0.003374200159062942,0.0,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,2.1991153507687383e-05,nan,0.05,0.0,589824,0.4582548592706471,5857572352,0.8859,0.07077275815010071,0.694775,0.11411660716235639,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,34280.85107421875,0.0,0.0011363934027031064,0.0,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,1e-05,nan,0.05,0.0,589824,0.4586819913381201,5857572352,0.886,0.07172265040874481,0.694875,0.11401456428766252,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,9125.182210286459,0.0,0.0003753083704699141,0.0,nan,nan,0,0,0,lora-first
