epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00048800884649231267,nan,0.05,0.0,589824,0.7540107364849666,6168338944,0.1653,0.07886825590133667,0.15992499999999998,0.07709510514140129,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,54486.037434895836,0.0,0.04256998964895805,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,589824,0.7605462757217915,6168338944,0.3892,0.14985824298858644,0.38035,0.14820806798934938,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,71787.44303385417,0.0,0.03351750519747535,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00039900738681165594,nan,0.05,0.0,589824,0.7645446650512383,6168338944,0.5254,0.16141797857284546,0.5144500000000001,0.1588974773645401,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,76390.22265625,0.0,0.028600711685915787,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,589824,0.7416894752960985,6168338944,0.5982,0.17041295909881593,0.588825,0.16854503996372222,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,95570.00846354167,0.0,0.022516130314519007,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.000255,nan,0.05,0.0,589824,0.7557798944165944,6168338944,0.6524,0.1772005558013916,0.639175,0.17753387439250945,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,106555.345703125,0.0,0.01930054339269797,0.0,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,589824,0.7520040441352083,6168338944,0.678,0.17979859085083008,0.6635,0.17760917835235596,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,90183.52669270833,0.0,0.013884414220228791,0.0,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.0001109926131883441,nan,0.05,0.0,589824,0.7568399125657728,6168338944,0.6919,0.16872265605926515,0.6795,0.1687423070192337,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,97833.17708333333,0.0,0.009866660150388876,0.0,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,589824,0.7671035799528937,6168338944,0.6993,0.16125829257965088,0.686925,0.16383326120376587,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,94666.30208333333,0.0,0.005969558105183144,0.0,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,2.1991153507687383e-05,nan,0.05,0.0,589824,0.7491511146125891,6168338944,0.7064,0.16487970533370971,0.6962,0.16711280617713928,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,105463.9765625,0.0,0.0032481232192367315,0.0,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,1e-05,nan,0.05,0.0,589824,0.7566509234630848,6168338944,0.7138,0.16467980947494507,0.702625,0.16659671380519867,"gauss,erase,fgsm,mixup,cutmix",0.7,0.02,0.08,0.02,0.15,1.0,0.2,0.2,0.007843137,"gauss,blur,sp,erase",1,134529.98697916666,0.0,0.0012468515099802364,0.0,nan,nan,0,0,0,lora-first
