epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00048800884649231267,nan,0.05,0.0,589824,0.46106671372338026,5857572352,0.8273,0.09234772486686707,0.775275,0.09463947492837907,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,69333.98763020833,0.0,0.02593171751747529,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,589824,0.46256762575310517,5857572352,0.847,0.07591225900650024,0.800725,0.08511076142787934,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,200821.04296875,0.0,0.0304544932829837,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00039900738681165594,nan,0.05,0.0,589824,0.463063515665586,5857572352,0.8586,0.0727904412984848,0.812975,0.07939940027296544,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,148436.01302083334,0.0,0.023937601285676163,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,589824,0.4617110237745983,5857572352,0.866,0.06785619616508484,0.82055,0.07827191308736801,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,106010.67578125,0.0,0.019055926396201055,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.000255,nan,0.05,0.0,589824,0.4621402686819091,5857572352,0.8712,0.06298645720481873,0.8300749999999999,0.07712744854092597,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,132233.46158854166,0.0,0.015774581969405215,0.0,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,589824,0.46177269186815034,5857572352,0.8767,0.06216399853229523,0.838525,0.07508503011018038,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,151405.17578125,0.0,0.015348615047211448,0.0,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,0.0001109926131883441,nan,0.05,0.0,589824,0.46272936806349496,5857572352,0.8847,0.0631987153172493,0.845275,0.07465771979093552,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,111669.216796875,0.0,0.009223016522203883,0.0,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,589824,0.46211139991155364,5857572352,0.8818,0.06300872695446015,0.8474499999999999,0.07505964735150338,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,160748.56705729166,0.0,0.005075905472040176,0.0,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,2.1991153507687383e-05,nan,0.05,0.0,589824,0.45745688631101644,5857572352,0.8861,0.06322757941484451,0.8515250000000001,0.07531173463463783,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,55707.664713541664,0.0,0.0024633317176873484,0.0,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,lora,n.a.,0,8,16.0,0.0,0.001,1e-05,nan,0.05,0.0,589824,0.4688626049119798,5857572352,0.8861,0.062428912210464475,0.851725,0.07629555364251137,"gauss,erase",0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,123070.32877604167,0.0,0.0009821601415751502,0.0,nan,nan,0,0,0,lora-first
