epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0009757729755661011,0.05,0.0,19200,0.22873678109834872,3391636992,0.1369,0.0746363394021988,0.0702,0.03936836067289114,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,28265.74190848214,0.0,0.015009023282410843,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000905463412215599,0.05,0.0,19200,0.22582547317075607,3386088960,0.2957,0.17720906486511231,0.15564999999999998,0.08934997346401215,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,30122.03641183036,0.0,0.01263775716402701,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0007959536998847742,0.05,0.0,19200,0.22483803610057781,3386088960,0.3695,0.19511428241729736,0.19615000000000002,0.10480517012476923,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,29258.53386579241,0.0,0.010582786951480168,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000657963412215599,0.05,0.0,19200,0.2290912083042857,3386088960,0.4283,0.20772168369293212,0.2219,0.11267428410649298,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,34606.86519949777,0.0,0.008437705608750028,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000505,0.05,0.0,19200,0.2270698882734684,3386088960,0.4606,0.2074303810119629,0.223625,0.1125389738738537,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,32740.252022879464,0.0,0.006923295125099165,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0003520365877844011,0.05,0.0,19200,0.22619363170145723,3386088960,0.4819,0.20331108703613282,0.243225,0.1156272582769394,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,34604.606201171875,0.0,0.005029537532079432,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.00021404630011522585,0.05,0.0,19200,0.22800084148221614,3386088960,0.4975,0.20393840389251708,0.24295,0.11366647463440895,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,38518.72136579241,0.0,0.0034325765196367036,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.00010453658778440107,0.05,0.0,19200,0.22741998309064704,3386088960,0.5058,0.20179082050323485,0.250125,0.11475913379788398,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,38948.882376534595,0.0,0.0020246911444701254,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,3.4227024433899005e-05,0.05,0.0,19200,0.22864379907203147,3386088960,0.5101,0.20260967178344727,0.2548,0.11682748442441226,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,38518.65211704799,0.0,0.0009350758170642491,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,1e-05,0.05,0.0,19200,0.22819965818653937,3386088960,0.5119,0.20158418941497802,0.255975,0.11729450061321259,none,0.5,0.0,0.05,0.02,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,36725.51433454241,0.0,0.0003295332062407397,nan,nan,0,0,0,lora-first
