epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,acc1_corrupt,ece_corrupt,noise_train,noise_p,label_noise,noise_gauss_std,noise_sp_amount,noise_erase_frac,noise_blur_sigma,mixup_alpha,cutmix_alpha,fgsm_eps,eval_corruptions,eval_severity,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0009757729755661011,0.05,0.0,19200,0.2668143337035118,3391636992,0.0541,0.02546639762222767,0.04115,0.022068093830905855,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,15567.235089983258,0.0,0.015257321364645447,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000905463412215599,0.05,0.0,19200,0.26131987937576023,3385826816,0.1863,0.10978926486968994,0.143875,0.07930693005621434,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,21422.178815569197,0.0,0.0123622992541641,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0007959536998847742,0.05,0.0,19200,0.2661913148582439,3385826816,0.2454,0.13780967211723327,0.195825,0.10298023392632603,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,25259.915283203125,0.0,0.01028517184646002,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000657963412215599,0.05,0.0,19200,0.2719336751172,3385826816,0.2844,0.15097403612136842,0.226925,0.11300152180790901,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,31678.59708077567,0.0,0.008118724516992058,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000505,0.05,0.0,19200,0.27166260965644856,3385826816,0.3245,0.16907650232315063,0.2553,0.12234819197654723,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,31492.40044294085,0.0,0.006642651461463954,nan,nan,0,0,0,lora-first
6,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0003520365877844011,0.05,0.0,19200,0.27030742076961584,3385826816,0.3402,0.16927310218811034,0.27595000000000003,0.1298151146352291,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,34707.15827287947,0.0,0.0050255337597004,nan,nan,0,0,0,lora-first
7,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.00021404630011522585,0.05,0.0,19200,0.2713375524486727,3385826816,0.3599,0.17791258678436278,0.287225,0.1317399054169655,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,35340.69956752232,0.0,0.0036853987257927656,nan,nan,0,0,0,lora-first
8,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.00010453658778440107,0.05,0.0,19200,0.26918296131026714,3385826816,0.3669,0.17802717037200927,0.2938,0.13372835012674333,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,36096.52134486607,0.0,0.0021410241523491485,nan,nan,0,0,0,lora-first
9,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,3.4227024433899005e-05,0.05,0.0,19200,0.26481896105324826,3385826816,0.3736,0.1811616153717041,0.294725,0.13241437366604805,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,40790.376482282365,0.0,0.0010359761155476527,nan,nan,0,0,0,lora-first
10,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,1e-05,0.05,0.0,19200,0.2725336874842339,3385826816,0.3758,0.18372889471054077,0.29857500000000003,0.1356389505624771,"colorjit,blur,sp",0.6,0.05,0.05,0.03,0.1,1.0,0.2,0.0,0.00392156862745098,"gauss,blur,sp,erase",1,0.0,28143.48653738839,0.0,0.00029616086456891414,nan,nan,0,0,0,lora-first
